#Table: J/MNRAS/423/1024/. (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                          |                     |             |      |    |     |      |      |      |                             | n_| z|          |          |          |     |  e_|    E|          |          |          |     |  e_|
      XMMXCS                  Name        |     RAdeg      DEdeg|       Counts|     z|r_z |n_z  |    TX|  e_TX|  E_TX|OName                        |zoo|oo|      L500|    e_L500|    E_L500| R500|R500|_R500|      L200|    e_L200|    E_L200| R200|R200|   E_
------------------------------------------|---------------------|-------------|------|----|-----|------|------|------|-----------------------------|---|--|----------|----------|----------|-----|----|-----|----------|----------|----------|-----|----|-----
XMMXCSJ015415.2-593758.5XMMXCSJ0154.2-5937| 28.563333 -59.632917|1.5148900e+02|  0.36|Lit |spec |  2.00|  0.40|  0.90|400d J0154-5937              |dss|na|  0.805044|  0.278005|  0.776668|  461|  58|  112|  1.172620|  0.645082|  1.728470|  699|  89|  170
XMMXCSJ015558.0+053200.8XMMXCSJ0155.9+0532| 28.991667   5.533556|1.2673500e+02|-99.00|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ015652.0+375603.8XMMXCSJ0156.8+3756| 29.216667  37.934389|1.3886700e+02|  0.52|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|g |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ015653.3+284339.3XMMXCSJ0156.8+2843| 29.222083  28.727583|2.5158800e+02|  0.27|NXS |phot |  3.20|  1.10|  2.30|                             |NXS|s |  0.394433|  0.153406|  0.114697|  669| 147|  239|  0.441771|  0.185347|  0.165321| 1014| 224|  363
XMMXCSJ015716.5+284721.1XMMXCSJ0157.2+2847| 29.318750  28.789194|5.6410500e+01|-99.00|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ015719.5+375638.2XMMXCSJ0157.3+3756| 29.331250  37.943944|1.4064000e+03|  0.24|NXS |phot |  3.80|  0.50|  0.70|                             |NXS|g |  0.512797|  0.161698|  0.160004|  674|  80|   87|  0.634612|  0.233121|  0.262703| 1022| 122|  132
XMMXCSJ015746.3+284918.1XMMXCSJ0157.7+2849| 29.442917  28.821694|6.2755600e+01|  0.40|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ015951.9+001655.4XMMXCSJ0159.8+0016| 29.966250   0.282056|1.1541200e+02|  0.75|S82 |phot |-99.00|-99.00|-99.00|                             |S82|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ020019.1+001931.8XMMXCSJ0200.3+0019| 30.079583   0.325500|7.6961300e+01|  0.66|S82 |phot |  1.90|  0.30|  0.70|SEXCLAS 03                   |S82|g |  1.277440|  0.400255|  0.466119|  322|  28|   67|  1.517180|  0.457562|  0.526997|  488|  42|  101
XMMXCSJ020341.6-074705.7XMMXCSJ0203.6-0747| 30.923333  -7.784917|7.4183300e+02|  0.44|LRG |spec |  7.20|  1.70|  2.80|                             |DR7|s |  3.009440|  0.944936|  1.630520|  882| 128|  183|  3.276160|  1.181950|  2.643600| 1337| 194|  278
XMMXCSJ020719.8+292240.4XMMXCSJ0207.3+2922| 31.832500  29.377889|1.6343900e+02|-99.00|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ021012.9-001445.6XMMXCSJ0210.2-0014| 32.553750  -0.246000|1.3621600e+02|  0.28|S82 |phot |-99.00|-99.00|-99.00|SDSS CE J032.547565-00.240780|S82|g |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ021013.5-393247.3XMMXCSJ0210.2-3932| 32.556250 -39.546472|1.2146700e+03|  0.17|Lit |spec |  1.30|  0.10|  0.10|WARP J0210.2-3932            |dss|na|  0.126728|  0.023589|  0.022278|  433|  15|   14|  0.220218|  0.049883|  0.048232|  656|  23|   21
XMMXCSJ021020.7-000706.5XMMXCSJ0210.3-0007| 32.586250  -0.118472|1.2141700e+02|-99.00|S82 |phot |-99.00|-99.00|-99.00|                             |S82|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ021045.5-002202.1XMMXCSJ0210.7-0022| 32.689583  -0.367250|1.2721200e+02|  0.31|LRG |spec |  6.00|  1.90|  2.50|                             |S82|g |  0.584025|  0.449058|  0.346730|  911| 190|  201|  0.981987|  0.841579|  0.648696| 1382| 288|  305
XMMXCSJ021440.9-043321.9XMMXCSJ0214.6-0433| 33.670417  -4.556083|3.0117500e+03|  0.14|Lit |phot |  4.50|  0.10|  0.10|ABELL 0329                   |dss|na|  2.157060|  0.950843|  1.468090|  916|  16|   16|  2.744620|  1.538390|  3.301390| 1389|  24|   24
XMMXCSJ021518.8-003813.2XMMXCSJ0215.3-0038| 33.828333  -0.637000|2.0465600e+02|  0.28|S82 |phot |-99.00|-99.00|-99.00|                             |S82|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ021659.3-044920.0XMMXCSJ0216.9-0449| 34.247083  -4.822222|2.1691700e+02|  0.44|Lit |spec |  2.30|  0.30|  1.10|XLSSU J021658.9-044904       |dss|na|  0.431202|  0.279184|  0.147285|  462|  54|  112|  0.882180|  0.666917|  0.420989|  700|  82|  170
