     z,M500,L500 Corrected,      L500,    TX,Kappa,,,,
0.57,126.3780936,0.541859229,1.01254,4.2,1.868640314,0.535148467,,,
0.55,223.6394279,1.321040749,2.46855,4.2,1.868640314,0.535148467,,,
0.49,173.2311091,0.756823017,1.41423,4.2,1.868640314,0.535148467,,,
0.35,174.3733176,0.541615868,1.0247,4.3,1.891931277,0.528560425,,,
0.59,205.2313602,1.254485313,2.3734,4.3,1.891931277,0.528560425,,,
0.2,404.4463345,1.425220901,2.69642,4.3,1.891931277,0.528560425,,,
0.43,186.5465213,0.740053308,1.40013,4.3,1.891931277,0.528560425,,,
1.46,153.0176821,3.57063181,6.75539,4.3,1.891931277,0.528560425,,,
0.43,291.1957969,1.53615712,2.94012,4.4,1.913944845,0.522481096,,,
0.43,441.7919324,3.043191143,5.8245,4.4,1.913944845,0.522481096,,,
0.55,144.1188672,0.642627136,1.24395,4.5,1.935725913,0.516602063,,,
0.14,388.3659297,1.114341646,2.15706,4.5,1.935725913,0.516602063,,,
0.61,236.1126239,1.649308912,3.19261,4.5,1.935725913,0.516602063,,,
0.44,609.4921931,5.285820648,10.2319,4.5,1.935725913,0.516602063,,,
0.43,274.0930202,1.390992383,2.69258,4.5,1.935725913,0.516602063,,,
0.41,133.045048,0.404688372,0.792206,4.6,1.957570456,0.510837297,,,
0.41,83.26513245,0.187638713,0.367316,4.6,1.957570456,0.510837297,,,
0.34,156.8436223,0.443535505,0.868252,4.6,1.957570456,0.510837297,,,
0.32,140.5944034,0.351699923,0.696187,4.7,1.979491477,0.50518025,,,
0.4,173.644364,0.61092458,1.20932,4.7,1.979491477,0.50518025,,,
0.37,289.3215482,1.30822488,2.58962,4.7,1.979491477,0.50518025,,,
0.54,98.25436601,0.335178003,0.663482,4.7,1.979491477,0.50518025,,,
0.5,163.2966502,0.703231116,1.39204,4.7,1.979491477,0.50518025,,,
0.25,38.94669863,0.035404042,0.070082,4.7,1.979491477,0.50518025,,,
0.29,149.2715856,0.357999521,0.708657,4.7,1.979491477,0.50518025,,,
0.21,363.1761704,1.229807624,2.46146,4.8,2.001500033,0.499625273,,,
0.5,297.829193,1.884176836,3.77118,4.8,2.001500033,0.499625273,,,
0.41,141.796488,0.449256337,0.909104,4.9,2.02357524,0.494174855,,,
0.44,201.8782222,0.863199927,1.74675,4.9,2.02357524,0.494174855,,,
0.21,220.0431169,0.540701417,1.09415,4.9,2.02357524,0.494174855,,,
0.45,108.6590204,0.320207747,0.655058,5,2.045728141,0.488823505,,,
0.62,254.8446421,1.910250502,3.95032,5.1,2.067959148,0.483568547,,,
1,88.39550366,0.703471343,1.45475,5.1,2.067959148,0.483568547,,,
0.16,259.2565606,0.610401652,1.27591,5.2,2.090279402,0.478404944,,,
0.6,206.7608398,1.29802743,2.71324,5.2,2.090279402,0.478404944,,,
0.28,122.6015377,0.252269146,0.527313,5.2,2.090279402,0.478404944,,,
0.22,270.0621286,0.778674213,1.64508,5.3,2.112667882,0.473335165,,,
0.35,96.02257065,0.203589974,0.430118,5.3,2.112667882,0.473335165,,,
0.64,183.5218265,1.163850703,2.45883,5.3,2.112667882,0.473335165,,,
0.49,172.580583,0.752167643,1.60598,5.4,2.135135717,0.468354303,,,
0.47,150.1196535,0.570774022,1.21868,5.4,2.135135717,0.468354303,,,
0.47,859.4141632,9.9815669,21.312,5.4,2.135135717,0.468354303,,,
0.44,105.9219421,0.299737855,0.639981,5.4,2.135135717,0.468354303,,,
